execution_id,execution_date,execution_status,stage_name,stage_order,stage_status,duration_seconds,records_in,records_out,records_failed,success_rate_pct,memory_usage_mb,cpu_usage_percent,error_count,warning_count,quality_score,validations_passed,validations_failed
9f672b46-a107-476c-899d-94e87129a9aa,2026-02-17 13:29:01,completed,VALIDATION,2,completed,7.417,25910,25910,0,100.00,,,0,0,95.65217391304348,44,2
54451c14-05c2-476d-a487-5426e640ba15,2026-02-17 13:28:52,completed,INGESTION,1,failed,0.234,0,10000,0,,,,1,0,,,
14a339fe-a231-43cf-b6d5-eb37bc74effb,2026-02-17 13:24:51,completed,TRANSFORMATION,3,completed,0.081,15910,15910,0,100.00,,,0,0,,,
66e34e13-8883-4396-afc1-e2abb4e79d2e,2026-02-17 13:24:36,completed,VALIDATION,2,completed,7.098,25910,25910,0,100.00,,,0,0,95.65217391304348,44,2
16e710b3-6842-4e58-8997-e8a2b5d32531,2026-02-17 13:24:28,completed,INGESTION,1,failed,0.238,0,10000,0,,,,1,0,,,
d1993e76-b010-4a30-a613-26d9aa2fa95b,2026-02-17 13:20:32,completed,TRANSFORMATION,3,completed,0.052,15910,15910,0,100.00,,,0,0,,,
08656209-9460-4250-a21c-c2ef3f85140d,2026-02-17 13:20:16,completed,VALIDATION,2,completed,7.674,25910,25910,0,100.00,,,0,0,95.65217391304348,44,2
438760a1-6f71-4994-8311-1ea812d3579a,2026-02-17 13:20:08,completed,INGESTION,1,failed,0.277,0,10000,0,,,,1,0,,,
9b8e1765-6ae4-47ea-88f5-b397e41eec01,2026-02-17 13:18:25,completed,TRANSFORMATION,3,completed,0.064,15910,15910,0,100.00,,,0,0,,,
da4f1975-1953-4079-9b44-16b903348b31,2026-02-17 13:18:08,completed,VALIDATION,2,completed,8.212,25910,25910,0,100.00,,,0,0,95.65217391304348,44,2
99eea190-69ac-419e-8664-59ae96e90cc6,2026-02-17 13:17:59,completed,INGESTION,1,failed,0.217,0,10000,0,,,,1,0,,,
82fb827b-ad11-4878-89f9-a50d21404a12,2026-02-17 13:16:13,completed,INGESTION,1,completed,0.586,0,60000,0,,,,0,0,,,
82fb827b-ad11-4878-89f9-a50d21404a12,2026-02-17 13:16:13,completed,VALIDATION,2,completed,17.393,60000,60000,0,100.00,,,0,0,94.87179487179486,74,4
